index,source_node,target_node,weight,day
895,91,1052,819800.0,171
896,91,1307,600500.0,171
897,153,727,425000.0,171
898,237,822,366120.0,171
899,285,895,213500.0,171
900,285,895,213000.0,171
901,293,933,103000.0,171
902,84,448,2999892.48,172
903,84,1106,4999926.66,172
904,47,1239,1950000.0,172
905,86,710,129250.0,172
906,86,2393,695000.0,172
907,88,479,1001400.0,172
908,235,875,313500.0,172
909,235,992,414077.18,172
910,257,1333,1667369.72,172
911,257,1333,1199304.47,172
912,257,1680,1698500.0,172
913,257,1680,1698500.0,172
914,82,476,214045.0,173
915,120,2083,155800.0,173
916,135,549,736728.66,173
917,135,923,278996.0,173
918,151,525,881324.65,173
919,175,489,249538.67,173
920,175,786,898690.4,173
921,253,1405,398000.0,173
922,259,1663,420320.0,173
923,285,618,114985.5,173
924,285,618,114985.5,173
925,285,865,164220.0,173
926,295,876,199500.0,173
927,295,1210,898750.0,173
928,300,505,18000132.0,173
929,309,1756,1203700.43,173
930,332,344,498847.88,173
931,42,939,126013.33,176
932,42,939,134978.15,176
933,42,1043,389430.0,176
934,42,1043,121294.35,176
935,42,1052,595800.0,176
936,42,1232,803200.0,176
937,42,1309,802800.0,176
938,45,558,655567.85,176
939,45,558,194759.71,176
940,45,558,540536.33,176
941,45,558,262554.55,176
942,45,558,455344.9,176
943,45,745,169233.76,176
944,45,745,129681.31,176
945,45,745,124729.43,176
946,79,910,394290.0,176
947,88,763,965750.0,176
948,88,763,1101500.0,176
949,107,1529,899366.61,176
950,107,1529,893269.34,176
951,157,1017,557950.0,176
952,157,1098,601380.0,176
953,164,1278,287943.88,176
954,216,689,140118.5,176
955,216,1077,213290.0,176
956,247,2425,565000.0,176
957,258,795,698000.0,176
958,318,952,480000.0,176
959,322,1119,275000.0,176
960,11,662,248410.0,177
961,19,1078,886532.99,177
962,19,1430,263665.08,177
963,19,1430,292641.17,177
964,19,2140,558243.44,177
965,42,1710,164324.16,177
966,53,705,546000.0,177
967,55,907,898727.32,177
968,80,1808,789000.0,177
969,80,1919,374791.0,177
970,91,803,439800.0,177
971,91,1052,579500.0,177
972,107,547,787988.43,177
973,107,1529,798290.39,177
974,116,1539,1475000.0,177
975,116,1539,2955170.0,177
976,145,787,512742.0,177
977,145,787,553323.0,177
978,145,805,852768.54,177
979,145,805,402220.08,177
980,145,1142,460594.0,177
981,145,1238,385693.0,177
982,145,1437,370865.6,177
983,161,620,410000.0,177
984,161,1208,510000.0,177
985,161,1848,410000.0,177
986,161,1848,510000.0,177
987,161,1848,410000.0,177
988,186,422,510000.99,177
989,186,422,529522.7,177
990,186,422,697977.07,177
991,213,945,400000.0,177
992,217,404,822129.93,177
993,235,1093,785300.0,177
994,258,972,166900.0,177
995,258,1848,349454.0,177
996,63,2084,699808.0,178
997,93,485,900000.0,178
998,107,547,632597.37,178
999,161,620,410000.0,178
1000,161,1094,260000.0,178
1001,161,1208,410000.0,178
1002,161,1848,310000.0,178
1003,161,1848,410000.0,178
1004,210,596,710639.01,178
1005,210,639,381000.0,178
1006,237,1373,358825.0,178
1007,239,506,692961.78,178
1008,4,1878,565000.0,179
1009,46,1213,843276.55,179
1010,86,710,151200.0,179
1011,86,1814,96047.66,179
1012,93,485,800000.0,179
1013,93,485,400000.0,179
1014,103,773,876000.0,179
1015,103,1656,579813.6,179
1016,103,2169,374800.0,179
